,CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
0,398768,2,1999-12-17,BCRB,B097131712320,1.0,1999-12-17
1,296227,2,2002-06-23,NOBT,R056024362409,,2002-06-23
2,868699,2,1999-04-12,BOTH,X090802290579,,1999-04-12
3,640353,1,2004-02-19,REFU,Z053273524673,,2004-02-19
4,180638,1,1999-06-28,NOBT,B090170554312,,1999-06-28
5,62551,2,2005-03-18,OOTH,R084010198416,,2005-03-18
6,438762,1,2008-08-15,ABAN,H059033989380,,2008-08-15
7,185992,2,2009-07-29,BAFR,U054252063976,,2009-07-29
8,532130,1,2009-07-24,APKN,H071379593570,,2009-07-24
9,671161,2,2003-04-09,MWBC,Y017489791737,,2003-04-09
10,880317,1,2005-10-27,BAFR,W088439505876,,2005-10-27
11,828936,2,2007-09-27,MOTH,D066329546107,,2007-09-27
12,604967,2,2004-04-06,BOTH,O007460030977,,2004-04-06
13,775405,1,1999-05-04,WROM,F044100957776,,1999-05-04
14,286807,1,2002-01-24,MWBA,V042263162360,,2002-01-24
15,521525,1,2002-06-13,REFU,N070571845496,,2002-06-13
16,225242,2,2005-11-27,AIND,E024501213825,,2005-11-27
17,158853,2,2008-04-11,WBRI,E043584864318,,2008-04-11
18,97679,1,2007-09-02,NOBT,F031422321568,,2007-09-02
19,295982,1,2009-02-21,MWBC,T051788328004,,2009-02-21
20,426648,1,2001-10-16,MOTH,R063029707492,,2001-10-16
21,389248,2,2001-02-02,REFU,J040780121614,,2001-02-02
22,501350,1,2003-04-10,ABAN,A074466676282,,2003-04-10
23,397815,1,2000-04-27,MWAS,T065572515321,,2000-04-27
24,972102,1,1999-06-18,AIND,K005714846118,,1999-06-18
25,53693,1,2007-12-28,MWBA,E072016439902,,2007-12-28
26,168196,1,2009-10-12,APKN,L066695746570,,2009-10-12
27,568347,1,2004-10-04,BOTH,N003834296284,,2004-10-04
28,637234,2,2006-08-07,APKN,G014513081279,,2006-08-07
29,406894,2,2002-08-15,ABAN,V019456276394,,2002-08-15
30,58470,2,2004-05-28,AIND,F008851001771,,2004-05-28
31,251367,2,2007-11-25,MWBA,B006304304068,,2007-11-25
32,452400,2,2001-09-20,BAFR,K000821570985,,2001-09-20
33,680750,1,2009-02-19,BAFR,K042219112852,,2009-02-19
34,738595,1,2000-07-20,WOTH,X002342828700,,2000-07-20
35,319688,2,2004-12-05,WROM,D024316977511,,2004-12-05
36,96860,1,2007-11-17,WOTH,D071452210331,,2007-11-17
37,305719,1,2004-01-18,NOBT,R035256603581,,2004-01-18
38,721638,2,2009-07-03,WIRT,G008792854228,,2009-07-03
39,91,2,1999-10-19,MOTH,W064737016429,,1999-10-19
40,257140,2,2002-04-04,WIRT,W036560084636,,2002-04-04
41,987589,2,2009-05-09,WIRT,G078076443510,,2009-05-09
42,525420,1,2009-12-12,WOTH,R041861435456,,2009-12-12
43,911186,2,2009-03-16,MWBC,Q089156427066,,2009-03-16
44,711196,2,2005-07-17,APKN,D043851960232,,2005-07-17
45,533550,2,2000-04-13,WBRI,A062730026530,,2000-04-13
46,370565,2,2009-05-11,CHNE,I047419005346,,2009-05-11
47,863772,2,2006-03-10,ABAN,V097664376738,,2006-03-10
48,515339,1,2005-11-10,BCRB,S016112573169,,2005-11-10
49,733166,2,2005-01-15,NOBT,N091451139698,,2005-01-15
50,569911,1,2000-03-01,REFU,M021650258848,,2000-03-01
51,289653,1,2001-12-29,WIRT,A048478311268,,2001-12-29
52,944392,1,2005-04-16,AOTH,Y028052828138,,2005-04-16
53,457493,2,2007-06-09,WOTH,T049797830770,,2007-06-09
54,59536,1,2001-01-05,NOBT,R005482628546,,2001-01-05
55,447903,1,2007-03-19,MWAS,Q013754822945,,2007-03-19
56,230591,2,2009-04-15,MWBC,A067433156499,,2009-04-15
57,92629,1,2006-07-31,WROM,L042232277738,,2006-07-31
58,52040,1,2004-10-21,WIRT,O050253438912,,2004-10-21
59,626490,2,2009-10-03,AIND,U076204007293,,2009-10-03
60,718139,1,2008-12-25,MOTH,Y045825008717,,2008-12-25
61,297509,2,2007-03-21,WIRI,W085698054985,,2007-03-21
62,623826,1,2003-12-30,APKN,E050651948637,,2003-12-30
63,934454,1,2001-06-07,OOTH,V030401216782,,2001-06-07
64,955207,1,2008-10-22,OOTH,W018324324781,,2008-10-22
65,521749,1,2005-11-17,BAFR,Z078480542435,,2005-11-17
66,158809,2,2006-09-19,WROM,I080683999830,,2006-09-19
67,344070,2,2007-09-09,WIRT,Z012405551068,,2007-09-09
68,207288,2,2007-10-28,BCRB,B068323705724,,2007-10-28
69,161229,1,2000-02-05,OOTH,E000238518237,,2000-02-05
70,420870,2,2005-09-13,WIRI,S036567914789,,2005-09-13
71,115396,1,2001-06-09,AIND,M051241019272,,2001-06-09
72,748243,1,2007-10-01,AIND,W059468322032,,2007-10-01
73,686067,1,2007-03-07,OOTH,B011159170354,,2007-03-07
74,913259,2,2008-05-31,BCRB,X023146595366,,2008-05-31
75,933616,1,2007-11-28,NOBT,K006758923828,,2007-11-28
76,600195,1,2005-04-09,BCRB,U076996251385,,2005-04-09
77,306047,2,2004-03-19,BAFR,F012237338335,,2004-03-19
78,391802,2,2005-10-24,NOBT,K098261662219,,2005-10-24
79,227758,1,2003-04-23,MWBC,R052046819237,,2003-04-23
80,276736,1,2002-03-27,WROM,S087282221661,,2002-03-27
81,184159,1,2007-09-19,BOTH,D099660751122,,2007-09-19
82,355263,1,2004-06-11,BAFR,Z080204631746,,2004-06-11
83,545261,1,2006-12-14,WIRI,H042028194278,,2006-12-14
84,814528,1,2004-07-17,REFU,I011102004022,,2004-07-17
85,911317,2,2002-04-13,AIND,K027090584965,,2002-04-13
86,410686,2,2009-10-08,BOTH,A002309333724,,2009-10-08
87,853131,2,2003-08-01,AIND,N022790217123,,2003-08-01
88,830787,1,2003-11-17,WBRI,B040909196751,,2003-11-17
89,243537,2,2006-01-17,OOTH,H085633752004,,2006-01-17
90,453076,2,1999-08-04,BAFR,R023908095692,,1999-08-04
91,461710,2,2007-12-31,BOTH,P062214076854,,2007-12-31
92,300407,1,2009-01-05,BCRB,D037909529175,,2009-01-05
93,769010,1,1999-06-30,BCRB,Q061501130934,,1999-06-30
94,439481,2,2007-04-17,WBRI,J016387031321,,2007-04-17
95,679389,2,2001-02-16,OOTH,H076299840233,,2001-02-16
96,80405,1,2008-11-06,WIRT,X086610882498,,2008-11-06
97,259754,1,2007-05-02,MOTH,X012605454287,,2007-05-02
98,451430,1,2002-06-05,WBRI,C006644338139,,2002-06-05
99,92498,2,2007-07-04,BOTH,A069012276303,,2007-07-04
100,536499,2,2002-02-15,MWAS,V099394504485,,2002-02-15
101,248000,1,2001-11-06,BAFR,G055261055087,,2001-11-06
102,376839,1,2004-06-16,OOTH,F088570680239,,2004-06-16
103,585985,1,2002-08-02,CHNE,R016961879461,,2002-08-02
104,458146,2,2000-12-11,WOTH,Y093791936878,,2000-12-11
105,115810,1,2008-11-03,BCRB,J036726362111,,2008-11-03
106,700392,2,2008-08-07,MOTH,Z051414404651,,2008-08-07
107,336438,2,2003-05-27,BOTH,Y034668472441,,2003-05-27
